Time,Tick,Junction,Mode,Phase,WaitingTime_s,NorthWait_s,SouthWait_s,EastWait_s,WestWait_s,QueueLength,VehicleCount,IsCorridor
2026-04-07T19:02:00,1,J0_0,rl,NS-Green,4.54,7.45,7.03,6.9,6.83,35.04,49,True
2026-04-07T19:02:00,1,J0_1,rl,NS-Green,3.63,5.96,5.62,5.55,5.44,28.15,39,True
2026-04-07T19:02:00,1,J0_2,rl,NS-Green,4.54,7.46,7.04,6.99,6.78,30.58,42,True
2026-04-07T19:02:00,1,J0_3,rl,NS-Green,3.63,5.96,5.62,5.61,5.39,24.39,33,True
2026-04-07T19:02:00,1,J1_0,rl,NS-Green,12.69,12.81,12.25,11.96,11.84,38.23,53,False
2026-04-07T19:02:00,1,J1_1,rl,NS-Green,10.68,10.78,10.31,10.12,9.92,36.41,50,False
2026-04-07T19:02:00,1,J1_2,rl,NS-Green,10.78,10.89,10.42,10.27,9.97,40.21,56,False
2026-04-07T19:02:00,1,J1_3,rl,NS-Green,4.28,6.98,6.67,6.62,6.36,35.15,48,True
2026-04-07T19:02:00,1,J2_0,rl,NS-Green,11.56,11.59,11.23,10.89,10.78,42.63,59,False
2026-04-07T19:02:00,1,J2_1,rl,NS-Green,8.72,8.74,8.47,8.26,8.1,23.68,32,False
2026-04-07T19:02:00,1,J2_2,rl,NS-Green,9.04,9.06,8.79,8.61,8.36,29.95,41,False
2026-04-07T19:02:00,1,J2_3,rl,NS-Green,4.19,6.78,6.57,6.47,6.22,41.25,57,True
2026-04-07T19:02:00,1,J3_0,rl,NS-Green,8.84,8.8,8.65,8.33,8.25,32.2,45,False
2026-04-07T19:02:00,1,J3_1,rl,NS-Green,10.2,10.15,9.97,9.66,9.47,33.46,46,False
2026-04-07T19:02:00,1,J3_2,rl,NS-Green,9.82,9.77,9.6,9.35,9.08,32.19,44,False
2026-04-07T19:02:00,1,J3_3,rl,NS-Green,3.76,6.03,5.93,5.8,5.58,29.36,41,True
2026-04-07T19:02:00,2,J0_0,rl,NS-Green,5.86,9.62,9.08,8.91,8.82,44.86,56,True
2026-04-07T19:02:00,2,J0_1,rl,NS-Green,5.57,9.13,8.62,8.51,8.34,43.09,55,True
2026-04-07T19:02:00,2,J0_2,rl,NS-Green,5.02,8.24,7.78,7.71,7.49,40.91,51,True
2026-04-07T19:02:00,2,J0_3,rl,NS-Green,5.59,9.17,8.66,8.63,8.3,40.34,52,True
2026-04-07T19:02:00,2,J1_0,rl,NS-Green,15.27,15.42,14.75,14.39,14.24,55.82,71,False
2026-04-07T19:02:00,2,J1_1,rl,NS-Green,13.22,13.35,12.77,12.52,12.28,44.7,56,False
2026-04-07T19:02:00,2,J1_2,rl,NS-Green,15.07,15.22,14.56,14.35,13.94,51.72,65,False
2026-04-07T19:02:00,2,J1_3,rl,NS-Green,5.82,9.47,9.06,8.98,8.63,42.37,53,True
2026-04-07T19:02:00,2,J2_0,rl,NS-Green,14.05,14.09,13.66,13.25,13.11,50.39,62,False
2026-04-07T19:02:00,2,J2_1,rl,NS-Green,13.1,13.14,12.74,12.41,12.17,41.69,54,False
2026-04-07T19:02:00,2,J2_2,rl,NS-Green,11.38,11.41,11.06,10.84,10.53,36.34,45,False
2026-04-07T19:02:00,2,J2_3,rl,NS-Green,6.47,10.47,10.15,10.0,9.61,52.24,65,True
2026-04-07T19:02:00,2,J3_0,rl,NS-Green,13.56,13.49,13.26,12.78,12.65,49.38,63,False
2026-04-07T19:02:00,2,J3_1,rl,NS-Green,13.99,13.92,13.68,13.26,13.0,49.16,62,False
2026-04-07T19:02:00,2,J3_2,rl,NS-Green,13.44,13.38,13.15,12.8,12.43,47.68,61,False
