Time,Tick,J0,J1,J2,J3,AvgWait,Phase,Mode
2026-04-07T19:02:00,1,4.08,9.61,8.38,8.15,7.56,NS-Green,rl
2026-04-07T19:02:00,2,5.51,12.35,11.25,11.63,10.18,NS-Green,rl
2026-04-07T19:02:00,3,6.49,13.75,12.74,13.13,11.53,NS-Green,rl
2026-04-07T19:02:00,4,7.03,14.54,14.4,12.95,12.23,NS-Green,rl
2026-04-07T19:02:00,5,6.92,14.84,14.09,13.47,12.33,NS-Green,rl
2026-04-07T19:02:00,6,6.95,14.39,13.69,13.59,12.16,NS-Green,rl
2026-04-07T19:02:00,7,16.22,16.59,15.58,16.16,16.14,NS-Green,rl
2026-04-07T19:02:00,8,15.64,17.13,16.48,17.56,16.7,NS-Green,rl
2026-04-07T19:02:00,9,15.37,17.42,16.39,17.0,16.55,NS-Green,rl
2026-04-07T19:02:00,10,14.8,16.74,16.5,16.35,16.1,NS-Green,rl
2026-04-07T19:02:00,11,13.95,17.32,17.44,17.2,16.48,NS-Green,rl
2026-04-07T19:02:00,12,14.82,18.27,16.75,14.66,16.13,NS-Green,rl
2026-04-07T19:02:00,13,15.31,17.42,17.08,15.37,16.3,NS-Green,rl
2026-04-07T19:02:00,14,16.09,17.2,16.64,15.36,16.33,NS-Green,rl
2026-04-07T19:02:00,15,15.38,17.17,15.74,15.82,16.03,NS-Green,rl
2026-04-07T19:02:00,16,15.35,16.81,16.65,16.36,16.29,NS-Green,rl
2026-04-07T19:02:00,17,15.86,16.66,16.94,15.93,16.34,NS-Green,rl
2026-04-07T19:02:00,18,15.45,16.89,16.7,15.91,16.24,NS-Green,rl
2026-04-07T19:02:00,19,15.89,17.21,16.53,15.79,16.36,NS-Green,rl
2026-04-07T19:02:00,20,15.15,16.43,15.98,15.48,15.76,NS-Green,rl
2026-04-07T19:02:00,21,15.3,16.39,16.21,16.54,16.11,NS-Green,rl
2026-04-07T19:02:00,22,15.16,16.48,17.68,16.09,16.35,NS-Green,rl
2026-04-07T19:02:00,23,14.66,16.33,16.34,16.07,15.85,NS-Green,rl
2026-04-07T19:02:00,24,14.84,16.93,15.78,15.42,15.74,NS-Green,rl
